Player,Team,Pos,Injury,Status
Trey Ragas,FA,RB,Undisclosed,Questionable
Reggie Ragland,FA,LB,Shoulder,Questionable
Charleston Rambo,FA,WR,Undisclosed,Questionable
Ryan Ramczyk,NO,OT,Concussion,Questionable
Jalen Ramsey,MIA,CB,Knee - Meniscus,IR-R
Shane Ray,FA,DE,Hamstring,Questionable
Kalif Raymond,DET,WR,Hamstring,Questionable
Jeremy Reaves,WAS,S,Knee - ACL,IR
Alex Redmond,FA,OG,Undisclosed,Questionable
Jalen Redmond,FA,DT,Undisclosed,Questionable
Chris Reed,MIN,OG,Lower Leg,NFI-R
D.J. Reed,NYJ,CB,Concussion,Questionable
Joe Reed,CHI,WR,Undisclosed,IR
Riley Reiff,NE,OG,Knee,IR
Nikko Remigio,KC,WR,Wrist,IR
Sam Renner,FA,DT,Undisclosed,Questionable
Sammis Reyes,JAX,TE,Concussion,Reserve-Ret
Ross Reynolds,FA,OG,Undisclosed,Questionable
Giovanni Ricci,CAR,TE,Shoulder,IR
Anthony Richardson,IND,QB,Shoulder - AC Joint,IR
Hassan Ridgeway,HOU,DT,Calf,IR
Curtis Riley,FA,S,Achilles,Questionable
Chauncey Rivers,FA,LB,Knee - ACL,Questionable
Ronnie Rivers,LAR,RB,Knee - PCL,IR
